"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.077,4.155,-32.1004577475719
1.077,4.16,-32.1255503902506
1.077,4.165,-32.150523114089
1.077,4.17,-32.1753724318595
1.077,4.175,-32.2000948474055
1.077,4.18,-32.2246868566968
1.077,4.185,-32.249144948914
1.077,4.19,-32.273465607559
1.077,4.195,-32.2976453115934
1.077,4.2,-32.3216805366033
1.077,4.205,-32.3455677559899
1.077,4.21,-32.3693034421865
1.077,4.215,-32.3928840678998
1.077,4.22,-32.4163061073766
1.077,4.225,-32.439566037694
1.077,4.23,-32.462660340073
1.077,4.235,-32.4855855012146
1.077,4.24,-32.5083380146574
1.077,4.245,-32.5309143821567
1.077,4.25,-32.5533111150828
1.077,4.255,-32.5755247358388
1.077,4.26,-32.5975517792961
1.077,4.265,-32.6193887942473
1.077,4.27,-32.6410323448742
1.077,4.275,-32.6624790122312
1.077,4.28,-32.6837253957415
1.077,4.285,-32.7047681147058
1.077,4.29,-32.7256038098218
1.077,4.295,-32.7462291447129
1.077,4.3,-32.7666408074652
1.077,4.305,-32.7868355121709
1.077,4.31,-32.8068100004771
1.077,4.315,-32.8265610431375
1.077,4.32,-32.8460854415663
1.077,4.325,-32.8653800293929
1.077,4.33,-32.8844416740143
1.077,4.335,-32.9032672781452
1.077,4.34,-32.9218537813626
1.077,4.345,-32.940198161645
1.077,4.35,-32.9582974369015
1.077,4.355,-32.9761486664927
1.077,4.36,-32.9937489527383
1.077,4.365,-33.0110954424114
1.077,4.37,-33.0281853282171
1.077,4.375,-33.0450158502541
1.077,4.38,-33.0615842974558
1.077,4.385,-33.0778880090118
1.077,4.39,-33.093924375765
1.077,4.395,-33.1096908415847
1.077,4.4,-33.1251849047124
1.077,4.405,-33.1404041190797
1.077,4.41,-33.1553460955956
1.077,4.415,-33.1700085034012
1.077,4.42,-33.1843890710918
1.077,4.425,-33.1984855879024
1.077,4.43,-33.2122959048565
1.077,4.435,-33.225817935876
1.077,4.44,-33.2390496588504
1.077,4.445,-33.251989116665
1.077,4.45,-33.2646344181845
1.077,4.455,-33.2769837391922
1.077,4.46,-33.2890353232835
1.077,4.465,-33.3007874827112
1.077,4.47,-33.3122385991821
1.077,4.475,-33.3233871246042
1.077,4.48,-33.3342315817823
1.077,4.485,-33.344770565062
1.077,4.49,-33.3550027409204
1.077,4.495,-33.3649268485029
1.077,4.5,-33.3745417001063
1.077,4.505,-33.3838461816052
1.077,4.51,-33.3928392528236
1.077,4.515,-33.4015199478495
1.077,4.52,-33.4098873752936
1.077,4.525,-33.4179407184892
1.077,4.53,-33.4256792356368
1.077,4.535,-33.4331022598891
1.077,4.54,-33.4402091993803
1.077,4.545,-33.4469995371968
1.077,4.55,-33.4534728312905
1.077,4.555,-33.4596287143357
1.077,4.56,-33.4654668935286
1.077,4.565,-33.4709871503306
1.077,4.57,-33.4761893401559
1.077,4.575,-33.4810733920033
1.077,4.58,-33.4856393080342
1.077,4.585,-33.4898871630961
