corte,posicao_mm,Mag_H_A_per_m
x,1.408,40.013359999923615
x,1.412,40.146644875436536
x,1.416,40.282445943352
x,1.4199999999999997,40.42068717726562
x,1.424,40.56129379575775
x,1.428,40.70419226239336
x,1.432,40.849310285721856
x,1.436,40.996576819277315
x,1.44,41.14592206157848
x,1.444,41.29727745612848
x,1.4479999999999997,41.45057569141518
x,1.452,41.60575070091109
x,1.456,41.76273766307311
x,1.46,41.921473001342875
x,1.464,42.0818943841466
x,1.468,42.243940724894955
x,1.472,42.40755218198342
x,1.4759999999999998,42.5726701587918
x,1.48,42.73923730368462
x,1.484,42.90719751001105
x,1.488,43.07649591610483
x,1.492,43.24707890528411
x,1.496,43.418894105851805
x,1.5,43.591890391095404
x,1.5039999999999998,43.76601787928691
x,1.508,43.941227933683045
x,1.512,44.1174731625248
x,1.516,44.29470741903822
x,1.52,44.4728858014335
x,1.524,44.65196465290571
x,1.528,44.8319015616343
x,1.5319999999999998,45.01265536078355
x,1.536,45.19418612850218
x,1.54,45.37645518792331
x,1.544,45.55942510716503
x,1.548,45.74305969932974
x,1.552,45.92732402250461
x,1.556,46.112184379761125
x,1.5599999999999998,46.2976083191556
x,1.564,46.483564633729
x,1.568,46.670023361506544
x,1.572,46.85695578549828
x,1.576,47.04433443369888
x,1.58,47.23213307908745
x,1.584,47.42032673962781
x,1.588,47.608891678268165
x,1.592,47.79780540294164
x,1.5959999999999999,47.987046666565575
x,1.6,48.176595467042276
x,1.604,48.36643304725812
x,1.608,48.544123272866614
x,1.612,48.69784217597357
x,1.616,48.85429172276996
x,1.62,49.01338629531178
x,1.6239999999999999,49.17504181199205
x,1.6280000000000001,49.339175727541125
x,1.6320000000000001,49.50570703302649
x,1.6360000000000001,49.67455625585301
x,1.6400000000000001,49.84564545976248
x,1.6440000000000001,50.01889824483423
x,1.6480000000000001,50.19423974748459
x,1.652,50.3715966404672
x,1.6560000000000001,50.55089713287278
x,1.6600000000000001,50.73207097012936
x,1.6640000000000001,50.91504943400233
x,1.668,51.09976534259404
x,1.672,51.28615305034422
x,1.676,51.47414844802973
x,1.6799999999999997,51.66368896276463
x,1.684,51.854713558000284
x,1.688,52.047162733525205
x,1.692,52.24097852546509
x,1.696,52.43610450628292
x,1.7,52.632485784778815
x,1.704,52.830069006090234
x,1.7079999999999997,53.028802351691674
x,1.712,53.228635539395086
x,1.716,53.429519823349324
x,1.72,53.63140799404071
x,1.724,53.83425437829272
x,1.728,54.03801483926591
x,1.732,54.24264677645822
x,1.736,54.44810912570472
x,1.74,54.65436235917759
x,1.7439999999999998,54.86136848538665
x,1.748,55.06909104917834
x,1.752,55.27749513173667
x,1.756,55.48654735058283
x,1.76,55.69621585957519
x,1.764,55.90647034890929
x,1.768,56.117282045117996
x,1.7719999999999998,56.32862371107123
x,1.776,56.54046964597629
x,1.78,56.752795685377336
x,1.784,56.96557920115645
x,1.788,57.178799101532235
x,1.792,57.392435831060695
x,1.796,57.60647137063527
x,1.7999999999999998,57.82088923748655
x,1.804,58.03567448518195
x,1.808,58.25081370362658
x,1.812,58.46629501906255
x,1.816,58.655336578292236
x,1.82,58.7698022872611
x,1.824,58.88344007389496
x,1.8279999999999998,58.99617862173739
x,1.832,59.10794776401712
x,1.836,59.21867848364842
x,1.84,59.328302913230814
x,1.844,59.43675433504893
x,1.848,59.543967181072766
x,1.852,59.64987703295773
x,1.8559999999999999,59.75442062204455
x,1.86,59.85753582935898
x,1.864,59.959161685612486
x,1.868,60.05923837120138
x,1.872,60.157707216207726
x,1.8760000000000001,60.25451070039847
x,1.8800000000000001,60.34959245322604
x,1.884,60.44289725382832
x,1.8880000000000001,60.53437103102821
x,1.892,60.623960863334105
x,1.8960000000000001,60.71161497893954
x,1.9000000000000001,60.79728275572352
x,1.9040000000000001,60.88091472125021
x,1.9080000000000001,60.96246255276918
x,1.912,61.04187907721518
x,1.9160000000000001,61.11911827120843
x,1.9199999999999997,61.19413526105417
x,1.924,61.2668863227433
x,1.928,61.33732888195171
x,1.932,61.405421514040704
x,1.936,61.47112394405698
x,1.94,61.53439704673223
x,1.944,61.59520284648388
x,1.9479999999999997,61.653504517414234
x,1.952,61.70926638331127
x,1.9559999999999997,61.76245391764802
x,1.96,61.81303374358286
x,1.964,61.86097363395946
x,1.9680000000000002,61.90624251130675
x,1.9719999999999998,61.94881044783914
x,1.9759999999999998,61.98864866545619
x,1.98,62.02572953574279
x,1.984,62.06002657996901
x,1.9880000000000002,62.091514469090406
x,1.9919999999999998,62.120169023747756
x,1.996,62.14596721426715
x,2.0,62.16888716065979
x,2.004,62.188908132622586
x,2.0079999999999996,62.20601054953745
x,2.012,62.2201759804716
x,2.016,62.23138714417757
x,2.02,62.23962790909318
x,2.024,62.24488329334177
x,2.028,62.247139464731674
x,2.032,62.24638374075661
x,2.036,62.24260458859579
x,2.04,62.23579162511329
x,2.044,62.22593561685892
x,2.048,62.21302848006782
x,2.052,62.19706328065995
x,2.056,62.178034234241025
x,2.06,62.15593670610172
x,2.0639999999999996,62.13076721121834
x,2.068,62.10252341425213
x,2.072,62.0712041295501
x,2.076,62.036809321144105
